course_id	part_number	chapter_id	chapter_number	chapter_name	chapter_title	chapter_description	chapter_url
5870131	3	6737481	4	entrainez-vous-en-enregistrant-des-reclamations-puis-en-planifiant-une-reunion	Entraînez-vous en enregistrant des réclamations, puis en planifiant une réunion		https://openclassrooms.com/fr/courses/5870131-communiquez-en-utilisant-les-outils-numeriques/6737481-entrainez-vous-en-enregistrant-des-reclamations-puis-en-planifiant-une-reunion
7168336	1	7215476	1	tirez-le-meilleur-de-ce-cours	Tirez le meilleur de ce cours		https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel/7215476-tirez-le-meilleur-de-ce-cours
7168336	1	7215649	2	faites-vos-premiers-pas-sur-excel	Faites vos premiers pas sur Excel		https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel/7215649-faites-vos-premiers-pas-sur-excel
7168336	1	7215881	3	creez-votre-premier-fichier	Créez votre premier fichier		https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel/7215881-creez-votre-premier-fichier
7168336	1	7215895	4	saisissez-et-corrigez-des-donnees	Saisissez et corrigez des données		https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel/7215895-saisissez-et-corrigez-des-donnees
7168336	1	7215923	5	recopiez-des-donnees	Recopiez des données		https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel/7215923-recopiez-des-donnees
7168336	1	7215934	6	creez-et-recopiez-des-formules	Créez et recopiez des formules		https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel/7215934-creez-et-recopiez-des-formules
7168336	1	7215937	7	entrainez-vous-a-saisir-des-donnees-sur-excel	Entraînez-vous à saisir des données sur Excel		https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel/7215937-entrainez-vous-a-saisir-des-donnees-sur-excel
7168336	2	7215943	1	manipulez-les-lignes-et-les-colonnes	Manipulez les lignes et les colonnes		https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel/7215943-manipulez-les-lignes-et-les-colonnes
7168336	2	7215959	2	manipulez-des-onglets	Manipulez des onglets		https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel/7215959-manipulez-des-onglets
7168336	2	7215972	3	mettez-en-page-votre-fichier	Mettez en page votre fichier		https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel/7215972-mettez-en-page-votre-fichier
7168336	2	7215981	4	utilisez-la-mise-en-forme-conditionnelle	Utilisez la mise en forme conditionnelle		https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel/7215981-utilisez-la-mise-en-forme-conditionnelle
7168336	2	7215994	5	utilisez-les-fonctionnalites-de-filtre-et-de-tri	Utilisez les fonctionnalités de filtre et de tri		https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel/7215994-utilisez-les-fonctionnalites-de-filtre-et-de-tri
7168336	2	7215997	6	entrainez-vous-a-mettre-en-page-un-fichier-excel	Entraînez-vous à mettre en page un fichier Excel		https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel/7215997-entrainez-vous-a-mettre-en-page-un-fichier-excel
7168336	3	7216031	1	realisez-des-calculs-grace-aux-fonctions	Réalisez des calculs grâce aux fonctions		https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel/7216031-realisez-des-calculs-grace-aux-fonctions
7168336	3	7216008	2	autorisez-ou-interdisez-la-saisie-de-certaines-donnees	Autorisez ou interdisez la saisie de certaines données		https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel/7216008-autorisez-ou-interdisez-la-saisie-de-certaines-donnees
7168336	3	7216018	3	realisez-des-tableaux-croises-dynamiques	Réalisez des tableaux croisés dynamiques		https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel/7216018-realisez-des-tableaux-croises-dynamiques
7168336	3	7216025	4	creez-des-graphiques	Créez des graphiques		https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel/7216025-creez-des-graphiques
7168336	3	7216030	5	entrainez-vous-a-traiter-des-donnees-avec-excel	Entraînez-vous à traiter des données avec Excel		https://openclassrooms.com/fr/courses/7168336-maitrisez-les-fondamentaux-dexcel/7216030-entrainez-vous-a-traiter-des-donnees-avec-excel
825502	1	821603	1	excel-le-logiciel-danalyse-de-donnees	Excel : le logiciel d'analyse de données		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/821603-excel-le-logiciel-danalyse-de-donnees
825502	1	821821	2	creez-votre-premier-classeur	Créez votre premier classeur		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/821821-creez-votre-premier-classeur
825502	1	821938	3	accelerez-la-saisie	Accélérez la saisie !		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/821938-accelerez-la-saisie
825502	1	822207	4	a-lassaut-des-formules	A l'assaut des formules		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/822207-a-lassaut-des-formules
825502	2	822314	1	trier-ses-donnees	Trier ses données		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/822314-trier-ses-donnees
825502	2	822399	2	les-listes	Les listes		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/822399-les-listes
825502	2	822487	3	les-graphiques	Les graphiques		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/822487-les-graphiques
825502	2	822596	4	les-tableaux-croises-dynamiques-1-2	Les tableaux croisés dynamiques 1/2		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/822596-les-tableaux-croises-dynamiques-1-2
825502	2	822689	5	les-tableaux-croises-dynamiques-2-2	Les tableaux croisés dynamiques 2/2		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/822689-les-tableaux-croises-dynamiques-2-2
825502	2	822767	6	les-macros	Les macros		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/822767-les-macros
825502	2	822811	7	outils-danalyses-de-simulation	Outils d'analyses de simulation		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/822811-outils-danalyses-de-simulation
825502	3	822888	1	premiers-pas-en-vba	Premiers pas en VBA		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/822888-premiers-pas-en-vba
825502	3	823059	2	le-vba-un-langage-oriente-objet	Le VBA : un langage orienté objet		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/823059-le-vba-un-langage-oriente-objet
825502	3	823118	3	la-selection	La sélection		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/823118-la-selection
