path_id	project_id	project_number	project_name	project_title	project_description	project_duration_hours	project_illustration	project_url
146	0	6		Conduct a market analysis	You are employed in an agribusiness company that wants to expand internationally. You must therefore identify new countries to grow their business.	100		
146	0	7		Detect counterfeit notes	Your IT consulting company has a new client: a government agency in charge of anti-counterfeiting. Your mission: find a solution to detect counterfeit notes	70		
146	0	8		Make an income prediction	An international bank hopes to find new customers. From existing data, build a model to analyze and predict the income of prospective clients.	80		
146	0	9		Help your company visualize their progress	Your pharmaceutical company wants to easily and efficiently monitor their ongoing projects. Your goal: create a custom dashboard for the executive committee.	60		
76	0	1		Think Like a UX Designer	UX design refers to user experience design. That means putting the user (or customer) at the center of the design process. For the first project you’re going to design for the person you know best in the world: yourself!	40		
76	0	2		Conduct Research Around Coffee	A multinational brand has reached out to you to conduct a study on how people drink coffee. Your job is to go into the field and observe and talk to people to uncover interesting insights.	90		
76	0	3		Usability Test Your Dream Vacation	Conduct usability testing to better understand user behavior and uncover insights and opportunities.	70		
76	0	4		Prototype Your First App Using Wireframes	It’s easy to get distracted and carried away by the actual design of a website or app, so your first job is to break it down into a simpler form: wireframes. Then we'll create easy digital prototypes that you can start testing on users.	80		
76	0	5		Manage Creative Projects	You've been tasked with creating a goal oriented roadmap for a small business looking to scale their business and keeping them on schedule. While you're at it, you'll learn to better organize and manage projects created on this path.	70		
76	0	6		Lead a Design Thinking Workshop	Facilitate your own design thinking workshop!	60		
76	0	7		Design an App to Combat FOMO	You've been tasked with creating an app that helps combat FOMO (Fear of Missing Out). From interviews to conception, you're getting into the minds of users to solve a problem.	130		
76	0	8		Use Analytics to Inform UX Design	An e-commerce site needs your help to help determine which products are performing best, which will then inform which design direction they take next.	60		
76	0	9		Improve an Existing Product	You're an in-house designer charged with making improvements to an existing website. You'll make recommendations to how it can be improved from an information architecture and content strategy perspective while integrating Lean and Agile.	50		
76	0	10		Create a UX Portfolio and Case Studies	You've done all the work. Now it's time to put everything you've learned into a killer portfolio with case studies to help land your first job in UX.	100		
141	0	1		Take Ownership of Your Learning on the Web Developer Path	In our changing world, being skilled in learning is more important than ever. Become an active, autonomous learner to set yourself up for success on this path and in your future career.	20		
141	0	2		Turn Mock-ups Into a Web Page	Get started with HTML & CSS by implementing a travel booking platform's website from scratch.	70		
141	0	3		Integrate a mobile website with animations in CSS	Implement the mobile version of this foodtech website with CSS animations.	90		
141	0	4		Optimize an Existing Website	Research and implement current best practices and standards in web development, including SEO, size and speed, and accessibility.	30		
141	0	5		Build an eCommerce Website	Use the JavaScript programming language to interact with users and external services. Apply a test-driven approach to web development.	90		
141	0	6		Build a Secure API for a Review App	Hot Takes is a new app for customer reviews of specialty hot sauces. Use Node.js, Express, and MongoDB to build its NoSQL database. Secure customer data by applying the OWASP web security standards.	50		
141	0	7		Build a Full-Stack Solution	Analyze a client’s needs to define the scope and features of a new application. With the help of a front-end framework, build a full-stack solution, including a SQL database.	50		
315	0	1		Take Ownership of Your Learning on the Front-End Path	In our changing world, being skilled in learning is more important than ever. Become an active, autonomous learner to set yourself up for success on this path and in your future career.	8		
315	0	2		Turn Mock-ups Into a Web Page	Get started with HTML & CSS by implementing a travel booking platform's website from scratch.	70		
315	0	3		Integrate a mobile website with animations in CSS	Implement the mobile version of this foodtech website with CSS animations.	90		
315	0	4		Build a Landing Page Using Javascript	Get started with Javascript on this gaming company's website, GameOn. In this first programming project, you'll discover how to code with Javascript from scratch.	30		
315	0	5		Skills Checkpoint: Web Languages Proficiency	Test your skills on HTML, CSS and JavaScript language principles and paradigms;	1		
315	0	6		Create an Accessible Website For a Freelancer Sourcing Platform	Delve into Javascript with Fisheye to build this freelance photographer platform. Be sure your code makes this web app accessible to all.	70		
315	0	7		Develop a Search Tool with Bootstrap	Implement a search algorithm for Les Petits Plats, a recipe website. You will use Bootstrap to build the interface and advanced Javascript methods and tools for optimization.	90		
315	0	8		Skills Checkpoint: JavaScript Algorithms	Test your skills in Javascript algorithms to be ready for technical tests.	1		
315	0	9		Debug and Test an HR SaaS	The expense report app, Billed, is experiencing a handful of bugs. You'll have to fix as well as write new unit and integration tests to detect future problems.	60		
315	0	10		Define User Needs for a Tutoring App	A non-profit that tutors children needs your help. Determine their needs and create a plan to tackle them using agile tools such as, User Stories, mock-ups, a Kanban table and use case diagrams.	50		
315	0	11		Develop a Web App with React and React Router	Implement the front end of Kasa, a person-to-person, real estate rental app. For this client, you will create components with React and build the routes of your app with React Router.	60		
315	0	12		Develop a Dashboard for Analytics with React	Create the consumer-facing dashboard of a sports analytics platform, SportSee. Build graphs and charts with React and use an API to fetch data.	60		
315	0	13		Connect to a Back End with an API Using React	Remede Agency needs you to complete their website's code to communicate with the back end. You'll write REST API calls to connect the front end to the back end of the website and model new API endpoints.	100		
315	0	14		Convert a jQuery Library to React	Help refactor HRnet's website. You will choose a jQuery library and turn it into a React plugin. Use LightHouse to monitor the performance of your new code.	110		
166	0	1		Spend a day in the life of a Salesforce Consultant	Learn about the professionals who bring Salesforce solutions to the world: Salesforce Consultants! Explore the Salesforce platform and plan out your learning path.	20		
166	0	2		Improve the Salesforce Solution for 'Digit Learning'	Take on the role of consultant. Analyze the performance of an existing Salesforce solution and improve. No coding required!	50		
166	0	3		Create a Salesforce Solution for 'Tours for life'	Help a small family business build and track a loyal customer base with Salesforce! Propose a technical solution adapted to their needs. No coding required!	70		
166	0	4		Debug a Java application	You've been hired to finish an application another developer has started, and it's up to you to make sure that it gets up and running correctly! Get ready to make your mark and fix your first Java application!	55		
166	0	5		Fix and Update a Java Application Using Best Testing Practices	You’re taking over work on an unfinished application and a number of tests are failing. Your mission is to fix the application and add a missing functionality so that your client leaves happy!	60		
166	0	6		Create a user interface for your app	Deliver an optimal user experience by building the interface of your application with HTML, CSS, and JavaScript.	95		
