path_id	project_id	project_number	course_id	href
324	0	3	1959476	https://openclassrooms.com/fr/courses/1959476-administrez-vos-bases-de-donnees-avec-mysql
324	0	3	4449026	https://openclassrooms.com/fr/courses/4449026-initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql
324	0	4	6204541	https://openclassrooms.com/fr/courses/6204541-initiez-vous-a-python-pour-lanalyse-de-donnees
324	0	4	4452741	https://openclassrooms.com/fr/courses/4452741-decouvrez-les-librairies-python-pour-la-data-science
324	0	4	3013891	https://openclassrooms.com/fr/courses/3013891-ameliorez-limpact-de-vos-presentations
324	0	4	4525256	https://openclassrooms.com/fr/courses/4525256-initiez-vous-au-langage-r-pour-analyser-vos-donnees
324	0	5	6204541	https://openclassrooms.com/fr/courses/6204541-initiez-vous-a-python-pour-lanalyse-de-donnees
324	0	5	4525266	https://openclassrooms.com/fr/courses/4525266-decrivez-et-nettoyez-votre-jeu-de-donnees
324	0	6	4525296	https://openclassrooms.com/fr/courses/4525296-maitrisez-les-bases-des-probabilites
324	0	6	4525336	https://openclassrooms.com/fr/courses/4525336-realisez-des-rapports-statistiques-clairs-et-impactants
324	0	6	4525306	https://openclassrooms.com/fr/courses/4525306-initiez-vous-a-la-statistique-inferentielle
324	0	8	4525361	https://openclassrooms.com/fr/courses/4525361-realisez-un-dashboard-avec-tableau
324	0	9	4525281	https://openclassrooms.com/fr/courses/4525281-realisez-une-analyse-exploratoire-de-donnees
324	0	9	4379436	https://openclassrooms.com/fr/courses/4379436-explorez-vos-donnees-avec-des-algorithmes-non-supervises
324	0	10	4525326	https://openclassrooms.com/fr/courses/4525326-realisez-des-modelisations-de-donnees-performantes
324	0	10	4011851	https://openclassrooms.com/fr/courses/4011851-initiez-vous-au-machine-learning
164	0	1	4312781	https://openclassrooms.com/fr/courses/4312781-apprenez-a-apprendre
164	0	1	1946386	https://openclassrooms.com/fr/courses/1946386-comprendre-le-web
164	0	1	6692406	https://openclassrooms.com/fr/courses/6692406-developpez-vos-soft-skills
164	0	1	5944991	https://openclassrooms.com/fr/courses/5944991-gerez-votre-temps-efficacement
164	0	2	6204541	https://openclassrooms.com/fr/courses/6204541-initiez-vous-a-python-pour-lanalyse-de-donnees
164	0	2	4452741	https://openclassrooms.com/fr/courses/4452741-decouvrez-les-librairies-python-pour-la-data-science
164	0	2	4525266	https://openclassrooms.com/fr/courses/4525266-decrivez-et-nettoyez-votre-jeu-de-donnees
164	0	2	6173491	https://openclassrooms.com/fr/courses/6173491-apprenez-a-utiliser-la-ligne-de-commande-dans-un-terminal
164	0	3	4011851	https://openclassrooms.com/fr/courses/4011851-initiez-vous-au-machine-learning
164	0	4	4297211	https://openclassrooms.com/fr/courses/4297211-evaluez-les-performances-dun-modele-de-machine-learning
164	0	4	4444646	https://openclassrooms.com/fr/courses/4444646-entrainez-un-modele-predictif-lineaire
164	0	4	4470406	https://openclassrooms.com/fr/courses/4470406-utilisez-des-modeles-supervises-non-lineaires
164	0	4	4470521	https://openclassrooms.com/fr/courses/4470521-modelisez-vos-donnees-avec-les-methodes-ensemblistes
164	0	5	4379436	https://openclassrooms.com/fr/courses/4379436-explorez-vos-donnees-avec-des-algorithmes-non-supervises
164	0	6	4470541	https://openclassrooms.com/fr/courses/4470541-analysez-vos-donnees-textuelles
164	0	6	4470531	https://openclassrooms.com/fr/courses/4470531-classez-et-segmentez-des-donnees-visuelles
164	0	7	5641721	https://openclassrooms.com/fr/courses/5641721-utilisez-git-et-github-pour-vos-projets-de-developpement
164	0	8	4810836	https://openclassrooms.com/fr/courses/4810836-decouvrez-le-cloud-avec-amazon-web-services
164	0	8	4467491	https://openclassrooms.com/fr/courses/4467491-concevez-des-architectures-big-data
164	0	8	4297166	https://openclassrooms.com/fr/courses/4297166-realisez-des-calculs-distribues-sur-des-donnees-massives
148	0	1	4312781	https://openclassrooms.com/fr/courses/4312781-apprenez-a-apprendre
148	0	1	1946386	https://openclassrooms.com/fr/courses/1946386-comprendre-le-web
148	0	1	6692406	https://openclassrooms.com/fr/courses/6692406-developpez-vos-soft-skills
148	0	1	5944991	https://openclassrooms.com/fr/courses/5944991-gerez-votre-temps-efficacement
148	0	2	4011851	https://openclassrooms.com/fr/courses/4011851-initiez-vous-au-machine-learning
148	0	3	4297211	https://openclassrooms.com/fr/courses/4297211-evaluez-les-performances-dun-modele-de-machine-learning
148	0	3	4444646	https://openclassrooms.com/fr/courses/4444646-entrainez-un-modele-predictif-lineaire
148	0	3	4470406	https://openclassrooms.com/fr/courses/4470406-utilisez-des-modeles-supervises-non-lineaires
148	0	3	4470521	https://openclassrooms.com/fr/courses/4470521-modelisez-vos-donnees-avec-les-methodes-ensemblistes
148	0	4	4379436	https://openclassrooms.com/fr/courses/4379436-explorez-vos-donnees-avec-des-algorithmes-non-supervises
148	0	5	4470541	https://openclassrooms.com/fr/courses/4470541-analysez-vos-donnees-textuelles
148	0	6	4470531	https://openclassrooms.com/fr/courses/4470531-classez-et-segmentez-des-donnees-visuelles
148	0	6	4810836	https://openclassrooms.com/fr/courses/4810836-decouvrez-le-cloud-avec-amazon-web-services
148	0	6	5801891	https://openclassrooms.com/fr/courses/5801891-initiez-vous-au-deep-learning
148	0	7	4466756	https://openclassrooms.com/fr/courses/4466756-redigez-votre-rapport-de-stage
64	0	1	4312781	https://openclassrooms.com/fr/courses/4312781-apprenez-a-apprendre
64	0	1	1946386	https://openclassrooms.com/fr/courses/1946386-comprendre-le-web
64	0	1	6692406	https://openclassrooms.com/fr/courses/6692406-developpez-vos-soft-skills
64	0	1	5944991	https://openclassrooms.com/fr/courses/5944991-gerez-votre-temps-efficacement
64	0	2	4297166	https://openclassrooms.com/fr/courses/4297166-realisez-des-calculs-distribues-sur-des-donnees-massives
64	0	2	4467491	https://openclassrooms.com/fr/courses/4467491-concevez-des-architectures-big-data
64	0	3	4451251	https://openclassrooms.com/fr/courses/4451251-gerez-des-flux-de-donnees-temps-reel
64	0	3	4462426	https://openclassrooms.com/fr/courses/4462426-maitrisez-les-bases-de-donnees-nosql
64	0	4	4462426	https://openclassrooms.com/fr/courses/4462426-maitrisez-les-bases-de-donnees-nosql
64	0	4	4467481	https://openclassrooms.com/fr/courses/4467481-creez-votre-data-lake
64	0	5	4467491	https://openclassrooms.com/fr/courses/4467491-concevez-des-architectures-big-data
64	0	6	4466756	https://openclassrooms.com/fr/courses/4466756-redigez-votre-rapport-de-stage
188	0	1	4312781	https://openclassrooms.com/fr/courses/4312781-apprenez-a-apprendre
188	0	2	6204541	https://openclassrooms.com/fr/courses/6204541-initiez-vous-a-python-pour-lanalyse-de-donnees
188	0	2	4452741	https://openclassrooms.com/fr/courses/4452741-decouvrez-les-librairies-python-pour-la-data-science
188	0	2	6173491	https://openclassrooms.com/fr/courses/6173491-apprenez-a-utiliser-la-ligne-de-commande-dans-un-terminal
188	0	3	4525266	https://openclassrooms.com/fr/courses/4525266-decrivez-et-nettoyez-votre-jeu-de-donnees
188	0	3	4525281	https://openclassrooms.com/fr/courses/4525281-realisez-une-analyse-exploratoire-de-donnees
188	0	3	4577696	https://openclassrooms.com/fr/courses/4577696-prenez-la-parole-en-public
188	0	4	4297211	https://openclassrooms.com/fr/courses/4297211-evaluez-les-performances-dun-modele-de-machine-learning
188	0	4	4444646	https://openclassrooms.com/fr/courses/4444646-entrainez-un-modele-predictif-lineaire
188	0	4	4470406	https://openclassrooms.com/fr/courses/4470406-utilisez-des-modeles-supervises-non-lineaires
188	0	5	4379436	https://openclassrooms.com/fr/courses/4379436-explorez-vos-donnees-avec-des-algorithmes-non-supervises
188	0	6	4470531	https://openclassrooms.com/fr/courses/4470531-classez-et-segmentez-des-donnees-visuelles
188	0	6	4470541	https://openclassrooms.com/fr/courses/4470541-analysez-vos-donnees-textuelles
188	0	7	5801891	https://openclassrooms.com/fr/courses/5801891-initiez-vous-au-deep-learning
188	0	9	6093671	https://openclassrooms.com/fr/courses/6093671-decouvrez-la-methodologie-devops
188	0	9	7162856	https://openclassrooms.com/fr/courses/7162856-gerez-du-code-avec-git-et-github
188	0	11	5162341	https://openclassrooms.com/fr/courses/5162341-maitrisez-les-risques-juridiques-lies-au-numerique
188	0	11	4296701	https://openclassrooms.com/fr/courses/4296701-gerez-un-projet-digital-avec-une-methodologie-en-cascade
188	0	11	5774866	https://openclassrooms.com/fr/courses/5774866-analysez-les-risques-de-votre-projet
97	0	1	4312781	https://openclassrooms.com/fr/courses/4312781-apprenez-a-apprendre
97	0	1	1946386	https://openclassrooms.com/fr/courses/1946386-comprendre-le-web
97	0	2	5238041	https://openclassrooms.com/fr/courses/5238041-communiquez-et-formalisez-vos-idees-par-le-storytelling
97	0	2	3013836	https://openclassrooms.com/fr/courses/3013836-initiez-vous-au-design-thinking
97	0	2	3013891	https://openclassrooms.com/fr/courses/3013891-ameliorez-limpact-de-vos-presentations
97	0	2	4805776	https://openclassrooms.com/fr/courses/4805776-mettez-en-place-un-systeme-de-veille-informationnelle
97	0	2	3938146	https://openclassrooms.com/fr/courses/3938146-appropriez-vous-la-demarche-ux-en-pratique
97	0	3	5192236	https://openclassrooms.com/fr/courses/5192236-menez-une-recherche-utilisateur
97	0	3	5248811	https://openclassrooms.com/fr/courses/5248811-appliquez-la-psychologie-au-design
97	0	4	5248881	https://openclassrooms.com/fr/courses/5248881-analysez-des-donnees-pour-prendre-des-decisions-de-design
97	0	4	3013736	https://openclassrooms.com/fr/courses/3013736-comprenez-votre-audience-avec-google-analytics
97	0	5	5248981	https://openclassrooms.com/fr/courses/5248981-auditez-lexperience-utilisateur
97	0	6	4421146	https://openclassrooms.com/fr/courses/4421146-animez-un-atelier-de-creativite
97	0	6	3013836	https://openclassrooms.com/fr/courses/3013836-initiez-vous-au-design-thinking
97	0	7	3936801	https://openclassrooms.com/fr/courses/3936801-composez-des-interfaces-utilisateurs-en-material-design
97	0	7	5249006	https://openclassrooms.com/fr/courses/5249006-concevez-une-interface-cliquable
97	0	7	5249021	https://openclassrooms.com/fr/courses/5249021-initiez-vous-a-la-methode-atomic-design
97	0	8	5249071	https://openclassrooms.com/fr/courses/5249071-evaluez-l-impact-de-votre-metier-d-ux-designer-dans-l-entreprise
97	0	8	5249081	https://openclassrooms.com/fr/courses/5249081-gerez-un-projet-design-avec-plusieurs-methodes-de-ux-mapping
97	0	8	4296701	https://openclassrooms.com/fr/courses/4296701-gerez-un-projet-digital-avec-une-methodologie-en-cascade
97	0	9	4507926	https://openclassrooms.com/fr/courses/4507926-initiez-vous-a-la-gestion-de-projet-agile
97	0	9	4511316	https://openclassrooms.com/fr/courses/4511316-perfectionnez-votre-gestion-de-projet-agile
97	0	9	4781491	https://openclassrooms.com/fr/courses/4781491-testez-vos-idees-avec-le-lean-prototyping
97	0	10	5218221	https://openclassrooms.com/fr/courses/5218221-elaborez-votre-strategie-de-recherche-demploi
322	0	1	1946386	https://openclassrooms.com/fr/courses/1946386-comprendre-le-web
322	0	1	4805776	https://openclassrooms.com/fr/courses/4805776-mettez-en-place-un-systeme-de-veille-informationnelle
322	0	1	6692406	https://openclassrooms.com/fr/courses/6692406-developpez-vos-soft-skills
322	0	1	4312781	https://openclassrooms.com/fr/courses/4312781-apprenez-a-apprendre
322	0	1	5944991	https://openclassrooms.com/fr/courses/5944991-gerez-votre-temps-efficacement
322	0	2	6204541	https://openclassrooms.com/fr/courses/6204541-initiez-vous-a-python-pour-lanalyse-de-donnees
322	0	2	6173491	https://openclassrooms.com/fr/courses/6173491-apprenez-a-utiliser-la-ligne-de-commande-dans-un-terminal
322	0	2	6951236	https://openclassrooms.com/fr/courses/6951236-mettez-en-place-votre-environnement-python
322	0	2	4577696	https://openclassrooms.com/fr/courses/4577696-prenez-la-parole-en-public
