src_course_id	src_chapter_id	relation	tgt_course_id	tgt_chapter_id	href
4449026	4568781	references	4449026	0	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/lancez-votre-premiere-requete-avec-select-from-et-where
4449026	4568781	references	4449026	0	https://openclassrooms.com/courses/4449026/parts/4568781/pandas.pydata.org
4449026	4538696	references	1946386	0	https://openclassrooms.com/courses/comprendre-le-web/les-bases-de-donnees-7
4449026	4538696	references	1946386	0	https://openclassrooms.com/courses/comprendre-le-web/les-secrets-bien-gardes-pour-devenir-developpeur-1
4449026	4538936	references	1946386	0	https://openclassrooms.com/courses/comprendre-le-web/les-secrets-bien-gardes-pour-devenir-developpeur-1
4449026	4550606	references	4449026	0	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/decouvrez-le-concept-de-relation#r-4514893
4449026	4519671	references	4449026	0	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/explorez-les-panama-papers#r-4552280
4449026	4519671	references	4449026	0	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/liez-des-relations-grace-aux-jointures#r-4569305
4449026	4519671	references	4449026	4504461	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/utilisez-les-tables-dassociation
4449026	4519671	references	4449026	0	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/liez-des-relations-grace-aux-jointures#r-4569277
4449026	4519671	references	4449026	4568771	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/liez-des-relations-grace-aux-jointures
4449026	4536126	references	4449026	4568776	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/noubliez-pas-lagregation
4449026	4536126	references	4449026	0	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/lancez-votre-premiere-requete-avec-select-from-et-where#r-4552922
4449026	4559086	references	4449026	4558491	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/ameliorez-vos-agregations-grace-a-having
4449026	4559086	references	4449026	0	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/effectuer-une-recherche-dans-une-chaine-de-caractere#r-4561736
4449026	4563021	references	4449026	4568776	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/noubliez-pas-lagregation
4449026	4563021	references	4449026	0	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/agregez-vos-donnees-grace-au-group-by#r-4616745
