topic_id	path_id	path_name	path_date	path_title	path_description	path_language	path_level	path_duration_months	path_employment_warranty	path_partner	path_illustration	path_url	path_certification_url
12	558	technicien-informatique-3		Technicien informatique	Gérez le matériel du parc informatique, déployez des postes de travail et apportez un support aux utilisateurs	fr	Diplôme niveau 5 (Bac+2)	9	0	 le CESI	https://oc-static.imgix.net/prod/images/paths/illustrations/558/16389784926563_15953279083253_SYSTEMS_IT-Technician.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/558-technicien-informatique-3	https://www.certificationprofessionnelle.fr/recherche/rncp/34602
2	172	digital-transformation-specialist		Digital Transformation Lead	This program features licensed course content from the Stanford Center for Professional Development.	en	Certification OpenClassrooms	6	0		https://oc-static.imgix.net/prod/images/paths/illustrations/172/15712275519465_Digital%20Transformation%20png.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/172-digital-transformation-specialist	
3	167	ai-engineer		AI Engineer	Design and integrate Deep Learning models inside an AI product	en	Diplôme niveau 7 (Bac+5)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/167/15693185297131_DATA_IA.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/167-ai-engineer	https://certificationprofessionnelle.fr/recherche/rncp/34545
3	146	data-analyst-2		Data Analyst	Analyze data and model phenomena with realistic business cases. Start your career in Data Science now!	en	Diplôme niveau 6 (Bac+3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/DATA_ANALYST.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/146-data-analyst-2	https://www.certificationprofessionnelle.fr/recherche/rncp/34964
4	76	ux-designer		UX Designer	Master human-centered design and create beautiful, clean user experiences!	en	Diplôme niveau 7 (Bac+5)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/DESIGN_UX.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/76-ux-designer	
5	555	web-developer-1		Web Developer	Jumpstart your career in web development by learning to build responsive, dynamic websites.	en	Diplôme niveau 5 (Bac+2)	6	0		https://oc-static.imgix.net/prod/images/paths/illustrations/555/16377641274939_WEB_DEV_JR.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/555-web-developer-1	https://www.francecompetences.fr/recherche/rncp/36076
5	411	software-architect-2		Software Architect	Become an expert in software development! Lead high-level architecture decisions and design complex solutions.	en	Diplôme niveau 7 (Bac+5)	15	0		https://oc-static.imgix.net/prod/images/paths/illustrations/411/16143585090946_DEVELOPMENT_software_architecht.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/411-software-architect-2	https://www.francecompetences.fr/recherche/rncp/34979
5	506	salesforce-developer-1		Salesforce Developer	Prepare to certify as a Salesforce Platform Developer and bring custom cloud-based solutions to the world.	en	Diplôme niveau 6 (Bac+3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/506/16333565269781_15578465869342_Salesforce.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/506-salesforce-developer-1	https://www.francecompetences.fr/recherche/rncp/35976/
5	507	ios-developer-2		iOS Developer	Discover iOS development, and build powerful applications for iPhones and iPads!	en	Diplôme niveau 6 (Bac+3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/507/16333571758737_15598102134014_DEV_IOS_full%202.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/507-ios-developer-2	https://www.francecompetences.fr/recherche/rncp/35976/
5	508	android-developer-2		Android Developer	Build Android apps for the billions of people on Android, the most widely-used mobile system worldwide.	en	Diplôme niveau 6 (Bac+3/4)	12	0		https://oc-static.imgix.net/prod/images/paths/illustrations/508/1633355562774_DEV_Android.png?auto=compress,format&q=80	https://openclassrooms.com/fr/paths/508-android-developer-2	https://www.francecompetences.fr/recherche/rncp/35976/
